longTermAdminNm,longTermAdminSym,longTermAdminCd,hmPostNo,TelNo,siDoCd,siGunGuCd,detailAddr,ratingCd,ratingDate,ratingGrade,adminPttnName,longTermPeribRgtDt,StpRptDt,opRating,safeRating,rightRating,processRating,resultRating
서울특별시립 남부노인전문요양원,11156000018,A03,,,,,,2018년 정기평가,2018-08-06,A,노인요양시설,2008-06-18,2005-03-24,100,100,100,98,87
구립영등포노인케어센터,11156000023,A03,,,,,,2018년 정기평가,2018-08-06,A,노인요양시설,2008-06-25,2008-06-18,98,87,100,94,96
참노인요양원(공동생활가정),11156000049,A04,,,,,,2018년 정기평가,2018-03-16,C,노인요양공동생활가정,2008-10-24,2008-10-24,92,74,93,73,74
주현노인요양원(공동생활가정),11156000057,A04,,,,,,2018년 정기평가,2018-03-16,B,노인요양공동생활가정,2009-01-21,2009-01-06,83,87,84,73,86
21세기요양원 노인요양공동생활가정,11156000213,A04,,,,,,2018년 정기평가,2018-05-23,C,노인요양공동생활가정,2015-07-14,2015-07-14,53,91,81,90,94
미래요양원,11156000148,A04,,,,,,2018년 정기평가,2018-07-04,B,노인요양공동생활가정,2010-12-30,2010-12-30,91,77,95,96,90
미래요양원2,11156000150,A04,,,,,,2018년 정기평가,2018-07-04,C,노인요양공동생활가정,2011-01-12,2011-01-12,78,70,95,79,90
가족사랑2,11156000190,A04,,,,,,2018년 정기평가,2018-05-10,C,노인요양공동생활가정,2013-10-01,2013-10-01,64,77,77,66,90
가족사랑1,11156000191,A04,,,,,,2018년 정기평가,2018-05-10,D,노인요양공동생활가정,2013-10-01,2013-10-01,50,74,59,54,80
대림실버1 노인요양공동생활가정,11156000193,A04,,,,,,2018년 정기평가,2018-06-19,D,노인요양공동생활가정,2014-02-20,2014-02-20,64,66,56,68,64
서울성모원 노인요양공동생활가정,11156000001,A04,,,,,,2018년 정기평가,2018-03-05,A,노인요양공동생활가정,2008-05-21,2008-03-24,91,88,100,98,93
대림실버2 노인요양공동생활가정,11156000194,A04,,,,,,2018년 정기평가,2018-07-03,B,노인요양공동생활가정,2014-02-20,2014-02-20,69,74,81,93,85
실버밸리노인요양공동생활가정,11121500093,A04,,,,,,2018년 정기평가,2018-03-05,B,노인요양공동생활가정,2010-03-01,2010-03-01,80,75,75,83,92
광진노인보호센터,11121500095,A04,,,,,,2018년 정기평가,2018-04-26,D,노인요양공동생활가정,2010-03-01,2010-03-01,89,81,59,83,92
광진한울촌노인요양시설,11121500101,A03,,,,,,2018년 정기평가,2018-03-30,C,노인요양시설,2010-03-01,2010-03-01,83,82,59,69,90
므두셀라실버타운,11121500118,A03,,,,,,2018년 정기평가,2018-10-01,D,노인요양시설,2010-09-03,2010-09-03,60,69,63,72,85
광진원광실버센터,11121500148,A03,,,,,,2018년 정기평가,2018-10-02,E,노인요양시설,2012-03-16,2012-03-16,61,78,40,45,90
광진소규모요양시설,11121500005,A03,,,,,,2018년 정기평가,2018-03-23,B,노인요양시설,2008-06-09,2008-06-09,85,93,100,81,97
동부실버케어요양원,11121500161,A04,,,,,,2018년 정기평가,2018-05-21,D,노인요양공동생활가정,2013-02-08,2013-02-08,53,92,61,44,73
사랑이있는집노인요양공동생활가정,11121500009,A04,,,,,,2018년 정기평가,2018-03-08,D,노인요양공동생활가정,2008-06-18,2008-03-28,62,67,50,68,91
성동실버케어요양원,11121500196,A04,,,,,,2018년 정기평가,2018-09-21,D,노인요양공동생활가정,2015-10-01,2015-10-01,78,65,88,56,84
밝은요양원,11121500112,A04,,,,,,2018년 정기평가,2018-03-07,C,노인요양공동생활가정,2010-06-25,2010-06-25,64,93,81,68,87
워커힐실버타운,11121500142,A03,,,,,,2018년 정기평가,2018-05-02,B,노인요양시설,2011-10-20,2011-10-20,78,97,100,83,80
유자원,11123000008,A03,,,,,,2018년 정기평가,2018-09-11,A,노인요양시설,2008-06-11,2008-03-12,100,88,100,96,92
은천요양원,11123000009,A03,,,,,,2018년 정기평가,2018-07-11,C,노인요양시설,2008-06-19,2008-06-05,81,89,63,53,82
은천노인요양센터,11123000022,A03,,,,,,2018년 정기평가,2018-07-11,C,노인요양시설,2008-06-30,2008-06-30,88,86,63,75,79
은나무요양원,11123000090,A04,,,,,,2018년 정기평가,2018-04-17,C,노인요양공동생활가정,2010-03-01,2010-03-01,75,70,93,64,86
한사랑실버케어요양원,11123000113,A03,,,,,,2018년 정기평가,2018-07-19,D,노인요양시설,2010-12-08,2010-12-08,63,86,59,81,95
도우누리편안한요양원,11123000241,A04,,,,,,2018년 정기평가,2018-03-28,E,노인요양공동생활가정,2016-09-22,2016-09-22,21,62,20,20,88
성심복지센터,11123000064,A04,,,,,,2018년 정기평가,2018-03-08,D,노인요양공동생활가정,2009-07-31,2009-07-31,80,88,45,58,80
은파요양원,11123000061,A04,,,,,,2018년 정기평가,2018-04-17,B,노인요양공동생활가정,2009-07-07,2009-06-22,75,81,100,77,76
길음안나의집 노인전문요양원,11129000100,A03,,,,,,2018년 정기평가,2018-03-28,A,노인요양시설,2010-02-08,2010-02-08,88,95,95,100,92
케어윌,11129000115,A03,,,,,,2018년 정기평가,2018-05-29,A,노인요양시설,2010-07-21,2010-07-21,100,97,100,94,92
청화요양원,11129000169,A03,,,,,,2018년 정기평가,2018-08-17,D,노인요양시설,2014-01-09,2014-01-09,75,73,47,57,76
순애노인전문요양원,11129000020,A03,,,,,,2018년 정기평가,2018-09-03,A,노인요양시설,2008-06-25,1999-03-24,88,86,100,98,92
부모섬김노인요양원,11129000104,A03,,,,,,2018년 정기평가,2018-10-12,B,노인요양시설,2010-03-01,2010-03-01,85,87,81,75,82
진각노인요양센터,11129000078,A03,,,,,,2018년 정기평가,2018-04-13,C,노인요양시설,2009-09-18,2009-09-18,85,83,77,60,80
백마요양원,11129000127,A03,,,,,,2018년 정기평가,2018-03-15,D,노인요양시설,2011-03-03,2011-03-03,63,83,43,50,80
한솔요양원,11129000227,A03,,,,,,2018년 정기평가,2018-03-09,E,노인요양시설,2016-09-12,2016-09-12,46,95,56,39,74
성신노인요양원,11129000149,A03,,,,,,2018년 정기평가,2018-03-16,C,노인요양시설,2012-09-21,2012-09-21,66,81,54,81,89
보문요양원,11129000170,A03,,,,,,2018년 정기평가,2018-03-06,E,노인요양시설,2014-01-27,2014-01-27,28,67,27,38,82
일광노인요양센터,11129000018,A03,,,,,,2018년 정기평가,2018-05-04,D,노인요양시설,2008-06-25,2008-03-17,88,84,63,70,75
둥지요양원,11129000216,A03,,,,,,2018년 정기평가,2018-06-28,E,노인요양시설,2016-04-28,2016-04-28,26,82,59,36,63
종암요양원,11129000215,A03,,,,,,2018년 정기평가,2018-07-30,D,노인요양시설,2016-03-11,2016-03-11,66,87,59,62,69
유민복지센터,11129000192,A04,,,,,,2018년 정기평가,2018-03-12,E,노인요양공동생활가정,2015-01-01,2015-01-01,42,70,68,8,82
명성노인복지센터,11129000139,A04,,,,,,2018년 정기평가,2018-07-06,E,노인요양공동생활가정,2012-02-03,2012-02-03,25,66,45,19,85
노원실버센터,11135000175,A03,,,,,,2018년 정기평가,2018-04-04,C,노인요양시설,2010-06-01,2010-06-01,81,89,81,56,73
길요양원,11135000273,A03,,,,,,2018년 정기평가,2018-04-02,C,노인요양시설,2013-10-07,2013-10-04,71,86,59,60,89
영기노인요양원,11135000020,A03,,,,,,2018년 정기평가,2018-04-18,C,노인요양시설,2008-06-10,2005-03-03,93,97,95,70,93
